# Página 854  
49. 1960 Jungle Cat  ( TL )
50. 1960 Swiss Family Robinson  ( LA )
51. 1961 One Hundr ed and One Dalmatians  ( A )
52. 1961 The Absent-Minded Pr ofessor  ( LA )
53. 1961 The Par ent T rap  ( LA )
54. 1961 Nikki, W ild Dog of the North  ( TLF )
55. 1961 Gr eyfriars Bobby  ( LA )
56. 1961 Babes in T oyland  ( LA )
57. 1962 Moon Pilot  ( LA )
58. 1962 Bon V oyage  ( LA )
59. 1962 Big Red  ( LA )
60. 1962 Almost Angels  ( LA )
61. 1962 The Legend of Lobo  ( TLF )
62. 1962 In Sear ch of the Castaways  ( LA )
63. 1963 Son of Flubber  ( LA )
64. 1963 Miracle of the White Stallions  ( LA )
65. 1963 Savage Sam  ( LA )
66. 1963 Summer Magic  ( LA )
67. 1963 The Incr edible Journey  ( LA )
68. 1963 The Swor d in the Stone  ( A )
